dist,zvel,PIDx,PIDz,xvel,pitch,theta
1.2599999905,0.2648112178,0.5,0.2742884717,0.1688567102,11.4669662982,0
1.2599999905,0.2514072061,0.5,0.2742860685,0.1845531762,11.7143679086,0
1.5,0.2490886003,0.2,-0.0257142438,0.1921574175,11.6835631477,90
1.5,0.25689134,0.5,0.0005357197,0.2091335058,11.5518578449,0
1.2599999905,0.3100574315,0.3801278056,0.2667887896,-0.0077479966,1.0232767296,35.9616583229
1.2599999905,0.2987435162,0.5,0.2744423572,-0.0056480845,1.0755859359,0
1.3099999428,0.2901894748,0.414230962,0.2118053638,-0.0022432674,1.0930142257,25.7307114097
1.3099999428,0.2742462456,0.5,0.2172569769,-0.0038937419,1.1712640908,0
1.3600000143,0.2561549544,0.417352702,0.1546570899,-0.0011183808,1.908512408,24.794189412
1.3600000143,0.211433053,0.5,0.1601133731,0.0124056581,3.0701977145,0
1.3999999762,0.1848691404,0.4352044578,0.110014205,0.0240416862,4.9296541824,19.4386626677
1.3999999762,0.1412714273,0.5,0.1143767989,0.0658505037,6.4036466635,0
1.4500000477,0.1164800823,0.4208817702,0.0517970343,0.0982505381,7.8962144144,23.7354689292
1.4500000477,0.0733190626,0.5,0.0572558327,0.1627555192,8.5550015818,0
1.4900000095,0.0569399223,0.4184654598,0.0071569791,0.2061021924,8.9925868403,24.4603620579
1.4900000095,0.0274471175,0.5,0.0115196123,0.2665293515,8.9695588442,0
1.5,0.0109140417,0.4649135738,-0.0010600461,0.3012011051,8.5956380265,10.5259278568
1.5,-0.0080088777,0.5,2.37440904720793E-05,0.3612902462,8.2236115085,0
1.5199999809,-0.0267350618,0.3086581719,-0.0249970081,0.3833968043,7.750365994,57.40254844
